num_hidden_layers,hidden_size,layer,neuron_index,value
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
20,10,0,0,0.0
